P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,Targetxvel,Targetyvel,Targetzvel,Containmentxpos,Containmentypos,Containmentzpos,targetcontained,trialtime
23.38977,1,-20.88304,2.563441,16.61262,0.5,-14.82885,-0.9718846,0,0.8667626,0,0.2,0,False,354.9
23.38523,1,-20.86867,2.263549,16.6029,0.5,-14.82018,-0.9721022,0,0.8669679,0,0.2,0,False,354.91
23.37043,1,-20.8658,2.563309,16.59318,0.5,-14.81151,-0.9721214,0,0.8669918,0,0.2,0,False,354.92
23.36588,1,-20.85143,2.263667,16.58345,0.5,-14.80284,-0.9723484,0,0.8671958,0,0.2,0,False,354.93
23.35109,1,-20.84855,2.56318,16.57373,0.5,-14.79417,-0.9723661,0,0.8672183,0,0.2,0,False,354.94
23.34654,1,-20.83418,2.263786,16.564,0.5,-14.78549,-0.9725916,0,0.8674209,0,0.2,0,False,354.95
23.33174,1,-20.8313,2.56305,16.55428,0.5,-14.77682,-0.9726185,0,0.8674419,0,0.2,0,False,354.96
23.32718,1,-20.81693,2.263906,16.54455,0.5,-14.76814,-0.9728318,0,0.8676432,0,0.2,0,False,354.97
23.31239,1,-20.81404,2.56292,16.53482,0.5,-14.75947,-0.9728571,0,0.8676627,0,0.2,0,False,354.98
23.30782,1,-20.79968,2.264025,16.52509,0.5,-14.75079,-0.9730689,0,0.8678628,0,0.2,0,False,354.99
23.29303,1,-20.79679,2.562791,16.51536,0.5,-14.74211,-0.9730818,0,0.8678808,0,0.2,0,False,355
23.28846,1,-20.78242,2.264147,16.50562,0.5,-14.73343,-0.9733032,0,0.8680796,0,0.2,0,False,355.01
23.27367,1,-20.77952,2.562664,16.49589,0.5,-14.72475,-0.9733145,0,0.8680962,0,0.2,0,False,355.02
23.26909,1,-20.76516,2.264268,16.48616,0.5,-14.71606,-0.9735344,0,0.8682936,0,0.2,0,False,355.03
23.2543,1,-20.76225,2.562534,16.47642,0.5,-14.70738,-0.9735551,0,0.8683089,0,0.2,0,False,355.04
23.24972,1,-20.7479,2.264389,16.46668,0.5,-14.6987,-0.9737628,0,0.8685051,0,0.2,0,False,355.05
23.23493,1,-20.74498,2.562404,16.45695,0.5,-14.69001,-0.9737819,0,0.868519,0,0.2,0,False,355.06
23.23034,1,-20.73063,2.264509,16.44721,0.5,-14.68132,-0.9739882,0,0.8687139,0,0.2,0,False,355.07
23.21556,1,-20.72771,2.562273,16.43747,0.5,-14.67264,-0.9739951,0,0.8687264,0,0.2,0,False,355.08
23.21096,1,-20.71336,2.264629,16.42772,0.5,-14.66395,-0.9742109,0,0.8689201,0,0.2,0,False,355.09
23.19618,1,-20.71043,2.56214,16.41798,0.5,-14.65526,-0.9742163,0,0.8689314,0,0.2,0,False,355.1
23.19157,1,-20.69608,2.26475,16.40824,0.5,-14.64657,-0.9744308,0,0.8691239,0,0.2,0,False,355.11
23.17679,1,-20.69314,2.56201,16.39849,0.5,-14.63788,-0.9744347,0,0.8691338,0,0.2,0,False,355.12
23.17218,1,-20.6788,2.264873,16.38875,0.5,-14.62918,-0.9746479,0,0.8693251,0,0.2,0,False,355.13
23.15741,1,-20.67585,2.561878,16.379,0.5,-14.62049,-0.9746505,0,0.8693283,0,0.2,0,False,355.14
23.15279,1,-20.66151,2.264995,16.36925,0.5,-14.6118,-0.9748623,0,0.8695237,0,0.2,0,False,355.15
23.13801,1,-20.65856,2.561749,16.3595,0.5,-14.6031,-0.9748635,0,0.869531,0,0.2,0,False,355.16
23.13339,1,-20.64422,2.26512,16.34975,0.5,-14.5944,-0.9750741,0,0.8697199,0,0.2,0,False,355.17
23.11862,1,-20.64127,2.561618,16.34,0.5,-14.58571,-0.9750846,0,0.8697259,0,0.2,0,False,355.18
23.11399,1,-20.62693,2.265243,16.33025,0.5,-14.57701,-0.9752832,0,0.8699137,0,0.2,0,False,355.19
23.09922,1,-20.62397,2.561484,16.3205,0.5,-14.56831,-0.9752923,0,0.8699184,0,0.2,0,False,355.2
23.09458,1,-20.60964,2.265363,16.31075,0.5,-14.55961,-0.9754895,0,0.870105,0,0.2,0,False,355.21
23.07981,1,-20.60667,2.56135,16.30099,0.5,-14.5509,-0.9754972,0,0.8701084,0,0.2,0,False,355.22
23.07517,1,-20.59234,2.265483,16.29123,0.5,-14.5422,-0.9756933,0,0.8702939,0,0.2,0,False,355.23
23.0604,1,-20.58936,2.561211,16.28148,0.5,-14.5335,-0.9756997,0,0.8702961,0,0.2,0,False,355.24
23.05575,1,-20.57504,2.2656,16.27172,0.5,-14.52479,-0.9758945,0,0.8704804,0,0.2,0,False,355.25
